id,nama_kampung,provinsi,provinsi_id,kabupaten,kabupaten_id,kecamatan,kecamatan_id,desa,desa_id,status_check,siga_provinsi_id,siga_provinsi_nama,siga_kabupaten_id,siga_kabupaten_nama,siga_kecamatan_id,siga_kecamatan_nama,siga_keluarahan_id,siga_kelurahan_nama
19830,TERATAI,JAWA TENGAH,33,KAB. BOYOLALI,09,Wonosegoro,18,Kedungpilang,2009,Pemekaran Kecamatan,33,JAWA TENGAH,09,BOYOLALI,22,WONOSAMODRO,2002,KEDUNGPILANG
9500,Layan,SUMATERA SELATAN,16,KAB. MUSI BANYUASIN,06,Sungai Keruh,03,Layan,2017,Pemekaran Kecamatan,16,SUMATERA SELATAN,06,MUSI BANYUASIN,15,JIRAK JAYA,2012,LAYAN
2338,KAMPUNG KB MERANTI PANDAK,RIAU,14,KOTA PEKANBARU,71,Rumbai Pesisir,12,Meranti Pandak,1001,"Cek master wilayah SIGA, Kode kemendagri 14 71 12 1001",14,,71,,12,,1001,
17934,Inderamayu,SUMATERA SELATAN,16,KAB. MUARA ENIM,03,Tanjung Agung,01,Inderamayu,2003,Pemekaran Kecamatan,16,SUMATERA SELATAN,03,MUARA ENIM,27,PANANG ENIM,2009,INDRAMAYU
17140,Sunggak,KEPULAUAN RIAU,21,KAB. KEPULAUAN ANAMBAS,05,Jemaja,06,Sunggak,2007,Pemekaran Kecamatan,21,KEPULAUAN RIAU,05,KEPULAUAN ANAMBAS,09,JEMAJA BARAT,2003,SUNGGAK
17285,GALINGGANG,SULAWESI SELATAN,73,KAB. LUWU UTARA,22,Baebunta,11,Lawewe,2016,Pemekaran Kecamatan,73,SULAWESI SELATAN,22,LUWU UTARA,14,BAEBUNTA SELATAN,2008,LAWEWE
16875,KAMPUNG KB DURIAN,NUSA TENGGARA BARAT,52,KAB. LOMBOK TIMUR,03,Aikmel,09,Lenek Duren,2022,Pemekaran Kecamatan,52,NUSA TENGGARA BARAT,03,LOMBOK TIMUR,21,LENEK,2008,LENEK DUREN
19419,NGUDI LESTARI,JAWA TENGAH,33,KAB. BOYOLALI,09,Ampel,02,Ngagrong,2015,Pemekaran Kecamatan,33,JAWA TENGAH,09,BOYOLALI,20,GLADAGSARI,2005,NGAGRONG
4126,Kampung KB Desa Sei Simujur Kecamatan Sei Suka Kabupaten Batu Bara,SUMATERA UTARA,12,KAB. BATU BARA,19,Sei Suka,02,Sei Simujur,2006,Pemekaran Kecamatan,12,SUMATERA UTARA,19,BATU BARA,08,LAUT TADOR,2009,SEI SIMUJUR
1891,FAKATINYINGA,MALUKU UTARA,82,KOTA TERNATE,71,Pulau Ternate,01,Loto,1007,Pemekaran Kecamatan,82,MALUKU UTARA,71,KOTA TERNATE,08,TERNATE BARAT,1002,LOTO
